"PIN","PARTYPE","ZVALUE","UPDATE","MAJOR","MINOR","PRES_USE","PRES_USE_D","PROP_TYPE","LOT_SQFT","PLAT_LOT","PLAT_BLOCK","PLAT_NAME","TAXPAYER","HOUSE","ADDRS_FULL","PU_CAT_DES","ADDRS_ST","PROP_NAME","PARCL_AREA","DEV_AREA","BLDG_SF","LU","LU_DETAIL","ZONING","ZONE_CAT","PUB_OR_PRI","HOUS_UNITS","YR_BUILT","SF_PR_UNIT","STS_RES_DV","BLT_FAR","MAX_RS_FAR","MAX_FAR","MAX_FAR_SF","POT_UNITS","IMP_VAL_15","LND_VAL_15","TOT_VAL_15","FAR_FACTOR","UNDER_DEV","REC_LEVEL","SCORE_1","SCORE_1DA","SCORE_1PA","SCORE_1DB","SCORE_1PB","RLTIONSHIP","SCORE_2","SCORE_2DA","SCORE_2PA","SCORE_2DB","SCORE_2PB","WILL_SELL","SCORE_3","SCORE_3DA","SCORE_3PA","SCORE_3DB","SCORE_3PB","POT_UNIT52","SCORE_D1","SCORE_D1DA","SCORE_D1DB","CST_UNIT_D","SCORE_D2","SCORE_D2DA","SCORE_D2DB","NO_BLDG","SCORE_D3","SCORE_D3DA","SCORE_D3DB","HIST_BLDG","SCORE_P1","SCORE_P1PA","SCORE_P1PB","VCNT_BLDG","SCORE_P2","SCORE_P2PA","SCORE_P2PB","CST_UNIT_P","SCORE_P3","SCORE_P3PA","SCORE_P3PB","COND_CMBND","SCORE_P4","SCORE_P4PA","SCORE_P4PB","INDEX_D_A","INDEX_D_B","INDEX_P_A","INDEX_P_B","INDEX_PM","ERROR_DO","ERROR_PM","FILTER_DO","FILTER_PO","NEW_S_1DB","NEW_S_2DB","NEW_S_3DB","NEW_S_D1DB","NEW_S_D2DB","NEW_S_D3DB","NEW_S_1PB","NEW_S_2PB","NEW_S_3PB","NEW_S_P1PB","NEW_S_P2PB","NEW_S_P3PB","NEW_S_P4PB","NEW_IDX_DB","NEW_IDX_PB"
"5247801465","PL",NA,NA,"524780","1465",172,"Governmental Service","C",61406,"1 THRU 4 &","30 &","MAYNARDS D S PLAT","SEATTLE CITY OF FAS","401","401          YESLER                    WAY     98104","Government Service","401   YESLER WAY","Fire Station 10",61509,61509,61156,"Major Institution And Public Facilities/Utilities","Governmental Service","IDR/C 125/150-240","IDR","CITY OF SEATTLE",0,2008,125,"PUBLIC",1,10,10,615090,615,16521700,7368700,23890400,"10",NA,"N",0.75,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,308,0.75,NA,NA,66584,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,298630,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STS_RES_DV =  PUBLIC","LU_DETAIL =  Governmental Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9820700050","PL",NA,NA,"982070","0050",180,"Parking(Commercial Lot)","C",2250,"1-2","31","YESLER & MC INTOSHS SUPL MAYNARDS","SWEAZEY INVESTMENTS L L C",NA,NA,"Parking","5TH AVE S","PARKING LOT",2250,2250,0,"Commercial/Mixed-Use","Parking(Commercial Lot)","IDR 45/125-240","IDR","PRIVATE",0,0,125,"UNAVAIL",0,10,10,22500,22,0,315000,315000,"10",NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,11,0,NA,NA,24000,0.5,NA,NA,"TRUE",1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STS_RES_DV =  UNAVAIL","STS_RES_DV =  UNAVAIL; LU_DETAIL =  Parking(Commercial Lot); BLDG_SF =  0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8653700000","PL",NA,NA,"865370","0000",25,"Condominium(Mixed Use)","K",19348,NA,NA,"TOBIRA",NA,"108","108          5TH                       AVE  S  98104","Mixed Use","108   5TH AVE S","TOBIRA",19351,19351,109284,"Commercial/Mixed-Use","Condominium(Mixed Use)","IDR 45/125-240","IDR","PRIVATE",88,2001,125,"DEVELOPED",5.6,10,10,193510,194,13928200,2705400,16633600,"10",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,97,0.75,12.5,7.9,147355,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,130973,0.75,10.71,10.23,1,1,14.29,13.63,12.5,7.9,25,23.86,NA,NA,NA,"","",0,0,0,7.9,0,0,0,0,0,0,0,10.23,13.63,7.9,23.86
"5247801525","PL",NA,NA,"524780","1525",180,"Parking(Commercial Lot)","C",14400,"6-7-8","31","MAYNARDS D S PLAT","KAKEI VENTURES LLC",NA,NA,"Parking","6TH AVE S","PARKING LOT",14403,14403,0,"Commercial/Mixed-Use","Parking(Commercial Lot)","IDR 45/125-240","IDR","PRIVATE",0,0,125,"REDEV",0,10,10,144030,144,0,2016000,2016000,"10",NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,"yes",1,16.67,NA,21.06,NA,72,0.75,12.5,7.9,23995,0.5,8.33,7.9,"TRUE",1,16.67,21.06,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,54.17,57.92,NA,NA,NA,"Y",NA,"","LU_DETAIL =  Parking(Commercial Lot); BLDG_SF =  0",0,0,21.06,7.9,7.9,21.06,NA,NA,NA,NA,NA,NA,NA,57.92,NA
"5247801526","PL",NA,NA,"524780","1526",180,"Parking(Commercial Lot)","C",7200,"7-8","31","MAYNARDS D S PLAT","SEATTLE CITY OF OH",NA,NA,"Parking","6TH AVE S","PARKING LOT",7202,7202,0,"Commercial/Mixed-Use","Parking(Commercial Lot)","IDR 45/125-240","IDR","CITY OF SEATTLE",0,0,125,"PUBLIC",0,10,10,72020,72,0,864000,864000,"10",NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"yes",1,NA,NA,NA,NA,36,1,NA,NA,20566,0.5,NA,NA,"TRUE",1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STS_RES_DV =  PUBLIC","LU_DETAIL =  Parking(Commercial Lot); BLDG_SF =  0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247802050","PL",NA,NA,"524780","2050",11,"Apartment","C",7200,"1-2","44","MAYNARDS D S PLAT","YATES WOOD & MCDONALD INC","100","100          6TH                       AVE  S  98104","Multi-Family","100   6TH AVE S","TICINO APARTMENTS",7202,7202,27600,"Multi-Family","Apartment","IDR 150","IDR","PRIVATE",44,1980,150,"DEVELOPED",3.8,8,8,57616,58,4728000,972000,5700000,"8",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,36,1,16.67,10.53,135677,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,203571,0,0,0,0.6,0.75,10.71,10.23,16.67,10.53,10.71,10.23,NA,NA,NA,"","",0,0,0,10.53,0,0,0,0,0,0,0,0,10.23,10.53,10.23
"5247802065","PL",NA,NA,"524780","2065",18,"Apartment(Subsidized)","C",21600,"1-2 & 3 & 4","44","MAYNARDS D S PLAT","WASHINGTON TERRACE ASSOCIAT","609","609          YESLER                    WAY     98104","Multi-Family","609   YESLER WAY","Washington Terrace Apts",21548,21548,107312,"Multi-Family","Apartment(Subsidized)","IDR 150","IDR","PRIVATE",136,2005,150,"DEVELOPED",5,8,8,172384,172,29384000,2916000,32300000,"8",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,108,0.75,12.5,7.9,256968,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,285841,0,0,0,1,1,14.29,13.63,12.5,7.9,14.29,13.63,NA,NA,NA,"","",0,0,0,7.9,0,0,0,0,0,0,0,0,13.63,7.9,13.63
"5247802090","PL",NA,NA,"524780","2090",309,"Vacant(Commercial)","C",2835,"7-8","44","MAYNARDS D S PLAT","KOBE PARK LLC",NA,NA,"Vacant","YESLER WAY","PARKING LOT FOR KOBE PARK BLDG",3491,3491,0,"Vacant","Vacant(Commercial)","IDR 150","IDR","PRIVATE",0,0,150,"VACANT",0,8,8,27928,28,0,382700,382700,"8",NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,17,0,0,0,18793,1,16.67,15.79,"TRUE",1,16.67,21.06,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,33.34,36.85,NA,NA,NA,NA,NA,"","LU_DETAIL =  Vacant(Commercial); BLDG_SF =  0",0,0,0,0,15.79,21.06,NA,NA,NA,NA,NA,NA,NA,36.85,NA
"5247802080","PL",NA,NA,"524780","2080",106,"Office Building","C",12900,"5-6","44","MAYNARDS D S PLAT","KOBE PARK LLC","633","633          YESLER                    WAY     98104","Office","633   YESLER WAY","NIPPON KAN/KOBE PARK BUILDING",13370,13370,31432,"Commercial/Mixed-Use","Office Building","IDR 150","IDR","PRIVATE",0,1970,150,"DEVELOPED",2.4,8,8,106960,107,1673100,1741500,3414600,"8",NA,NA,0,0,NA,0,NA,"yes",1,16.67,NA,15.79,NA,NA,0,0,NA,0,NA,67,0.75,12.5,7.9,43782,0,0,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,NA,189700,0.5,NA,NA,0.6,0.75,NA,NA,29.17,23.69,NA,NA,NA,NA,NA,"","LU_DETAIL =  Office Building",0,15.79,0,7.9,0,0,NA,NA,NA,NA,NA,NA,NA,23.69,NA
"9820700085","PL",NA,NA,"982070","0085",180,"Parking(Commercial Lot)","C",7200,"4","31","YESLER & MC INTOSHS SUPL MAYNARDS","SWEAZEY INVESTMENTS L L C",NA,NA,"Parking","40   5TH AVE S","PARKING LOT",7202,7202,0,"Commercial/Mixed-Use","Parking(Commercial Lot)","IDR 45/125-240","IDR","PRIVATE",0,0,125,"REDEV",0,10,10,72020,72,0,1008000,1008000,"10",NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,36,1,16.67,10.53,23993,0.5,8.33,7.9,"TRUE",1,16.67,21.06,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,41.67,39.49,NA,NA,NA,NA,NA,"","LU_DETAIL =  Parking(Commercial Lot); BLDG_SF =  0",0,0,0,10.53,7.9,21.06,NA,NA,NA,NA,NA,NA,NA,39.49,NA
