"BLDG_ID","PIN","NAME","PARCL_NAME","BLDG_AD","PARCL_ADRS","BLDG_SF","PARCL_AREA","LU","LU_DETAIL","ZONING","ZONE_CAT","PUB_OR_PRI","HOUS_UNITS","YR_BUILT","I_VAL_15","L_VAL_15","RENT_TYPE","STUDIO","RES_TYPE","CONDITION","SCORE_1","SCORE_1A","SCORE_1_1B","SCORE_2_1B","SCORE_3_1B","RRIO","SCORE_2","SCORE_2A","SCORE_1_2B","SCORE_2_2B","SCORE_3_2B","URM","SCORE_3","SCORE_3A","SCORE_1_3B","SCORE_2_3B","SCORE_3_3B","PRMT_COUNT","PRMT_VAL","SCORE_4","SCORE_4A","SCORE_1_4B","SCORE_2_4B","SCORE_3_4B","VLTN_COUNT","SCORE_5","SCORE_5A","SCORE_1_5B","SCORE_2_5B","SCORE_3_5B","OCC_RATE","SCORE_6","SCORE_6A","SCORE_1_6B","SCORE_2_6B","SCORE_3_6B","WILL_SELL","SCORE_7","SCORE_7A","SCORE_1_7B","SCORE_2_7B","SCORE_3_7B","SALE_DATE","SALE_PRICE","TURNOVER","SCORE_8","SCORE_8A","SCORE_1_8B","SCORE_2_8B","SCORE_3_8B","NEIGHBORS","SCORE_9","SCORE_9A","SCORE_1_9B","SCORE_2_9B","SCORE_3_9B","INDEX_A","INDEX_S1_B","INDEX_S2_B","INDEX_S3_B","NEW_S_1B","NEW_S_2B","NEW_S_3B","NEW_S_4B","NEW_S_5B","NEW_S_6B","NEW_S_7B","NEW_S_8B","NEW_S_9B","NEW_IDX_B"
"1","8809700000","UNION STATION","UNION STATION CONDOMINIUM-","625 5TH AVE S","401  S JACKSON ST",1374337,"337094","Commercial/Mixed-Use","Condominium(Mixed Use)","IDM-65-150","IDM","PRIVATE",0,2000,222816700,45730700,NA,NA,NA,"good",0,0,0,0,0,"n/a",0,0,0,0,0,"no",0,0,0,0,0,12,1533944,-1,-11.11,-10.71,-8.34,-10.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,-10.71,NA,NA,0,NA,0,NA
"2","5247801830","LITTLE SHEEP RESTAURANT","OCEAN CITY RESTAURANT","609 S WELLER ST","609  S WELLER ST",14400,"7199","Commercial/Mixed-Use","Restaurant/Lounge","IDM 75/85-150","IDM","PRIVATE",0,1985,2668100,972000,NA,NA,NA,"good",0,0,0,0,0,"n/a",0,0,0,0,0,"no",0,0,0,0,0,5,283000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,0,NA
"3","5247801865","INTERNATIONAL HOUSE","INTERNATIONAL HOUSE","609 MAYNARD AVE S","607   MAYNARD AVE S",75477,"14396","Commercial/Mixed-Use","Apartment(Mixed Use)","IDM 75/85-150","IDM","PRIVATE",99,1988,4898000,1940000,"Mission-based",961,"Formal Affordable","good",0,0,0,0,0,"yes or exempt",0,0,0,0,0,"no",0,0,0,0,0,2,15000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,"2004-07-13",6495000,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA
"4","5247802430","SUN YA","SUN YA RESTAURANT","605 7TH AVE S","605   7TH AVE S",14120,"14397","Commercial/Mixed-Use","Restaurant/Lounge","IDM 75/85-150","IDM","PRIVATE",0,1980,151400,1944000,NA,NA,NA,"good",0,0,0,0,0,"n/a",0,0,0,0,0,"no",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA
"5","5247802580","ROOMING HOUSE","ROOMING HOUSE-19 ROOMS","711 S WELLER ST","711  S WELLER ST",4088,"3599","Multi-Family","Rooming House","IDM 75/85-150","IDM","PRIVATE",0,1970,174200,486000,"Market-based",NA,"Information Unavailable","fair",0.75,8.33,5.35,4.17,3.94,"no info",0,0,0,0,0,"no",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,8.33,5.35,4.17,3.94,5.35,0,0,NA,NA,NA,0,NA,0,5.35
"6","5247802630","WHSE-MULTI-TENANT","WHSE-MULTI-TENANT","615 8TH AVE S","615   8TH AVE S",10120,"13795","Industrial","Warehouse","IDM 75/85-150","IDM","PRIVATE",0,1975,1000,1798200,NA,NA,NA,"good",0,0,0,0,0,"n/a",0,0,0,0,0,"no",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA
"7","5247802415","GARAGE / CHURCH","Garage","620 MAYNARD AVE S","620   MAYNARD AVE S",7200,"7198","Commercial/Mixed-Use","Parking(Garage)","IDM 75/85-150","IDM","PRIVATE",0,1946,1000,972000,NA,NA,NA,"fair",0.75,8.33,5.35,4.17,3.94,"n/a",0,0,0,0,0,"no",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,"1997-01-27",2900000,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5.35,0,0,NA,NA,NA,0,0,0,NA
"8","5247801801","CATHAY BANK","Cathay Bank","624 S DEARBORN ST","624  S DEARBORN ST",26510,"26381","Commercial/Mixed-Use","Retail Store","IDM 75/85-150","IDM","PRIVATE",0,2003,871600,3549800,NA,NA,NA,"good",0,0,0,0,0,"n/a",0,0,0,0,0,"no",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA
"9","3558300000","INTERNATIONAL DISTRICT VILLAGE SQUARE 2","International District Village Square 2","701 8TH AVE S","701   8TH AVE S",195993,"27328","Major Institution And Public Facilities/Utilities","Church/Welfare/Relig Srvc","IDM 75/85-150","IDM","PRIVATE",0,2002,27446900,3463300,"Mission-based",NA,"Formal Affordable","good",0,0,0,0,0,"yes or exempt",0,0,0,0,0,"no",0,0,0,0,0,1,187000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,0,NA
"10","5247802530","KEYBANK","KEYBANK","666 S DEARBORN ST","666  S DEARBORN ST",35202,"42032","Commercial/Mixed-Use","Office Building","IDM 75/85-150","IDM","PRIVATE",0,1985,196900,5637600,NA,NA,NA,"good",0,0,0,0,0,"n/a",0,0,0,0,0,"no",0,0,0,0,0,1,200000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,"1992-09-03",173705,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA
"11","5247801775","NIKKEI MANOR","NIKKEI MANOR","718 6TH AVE S","718   6TH AVE S",43380,"32007","Multi-Family","Retirement Facility","IDM 75/85-150","IDM","PRIVATE",50,1998,5303300,4289700,"Mission-based",NA,"Formal Affordable","good",0,0,0,0,0,"yes or exempt",0,0,0,0,0,"no",0,0,0,0,0,1,245500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,0,NA
"12","5247802485","SPIC N SPAN CLEANERS","SPIC N SPAN CLEANERS","650 S DEARBORN ST","650  S DEARBORN ST",6555,"12687","Commercial/Mixed-Use","Retail Store","IDM 75/85-150","IDM","PRIVATE",0,1970,1000,1000,NA,NA,NA,"good",0,0,0,0,0,"n/a",0,0,0,0,0,"no",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA
"13","7666202695","OLD PACIFIC FISH CO BLDG","OLD PACIFIC FISH CO BLDG","804 6TH AVE S","804   6TH AVE S",19280,"14817","Industrial","Warehouse","IDM 150/85-150","IDM","PRIVATE",0,1980,89600,1992600,NA,NA,NA,"good",0,0,0,0,0,"n/a",0,0,0,0,0,"yes",1,11.11,14.28,16.68,15.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,"1990-06-18",530000,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,14.28,NA,NA,NA,0,0,0,NA
"14","7666202680","SHELL FOOD MART","SHELL FOOD MART","511 S DEARBORN ST","511  S DEARBORN ST",1485,"10502","Commercial/Mixed-Use","Conv Store with Gas","IDM 150/85-150","IDM","PRIVATE",0,1994,404100,1439200,NA,NA,NA,"good",0,0,0,0,0,"n/a",0,0,0,0,0,"no",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,"2009-12-10",361000,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA
"15","8592900345","RDA BUILDING","RDA BUILDING","800 MAYNARD AVE S","800   MAYNARD AVE S",57600,"27372","Industrial","Warehouse","IDM 150/85-150","IDM","PRIVATE",0,1980,1346400,3693600,NA,NA,NA,"good",0,0,0,0,0,"n/a",0,0,0,0,0,"no",0,0,0,0,0,7,469771,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,0,NA
"16","7669800045","INSCAPE ARTS AND CULTURAL CENTER","OLD IMMIGRATION & NATURALIZATION SERVICE BUILDING","815 AIRPORT WAY S","815   AIRPORT WAY S",56944,"50144","Commercial/Mixed-Use","Office Building","IDM 150/85-150","IDM","PRIVATE",0,1939,1000,5559600,NA,NA,NA,"good",0,0,0,0,0,"n/a",0,0,0,0,0,"no",0,0,0,0,0,3,19500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,0,NA
"17","7666204820","TURNER CONSTRUCTION",NA,"830 4TH AVE S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"good",0,0,0,0,0,"n/a",0,0,0,0,0,"no",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,"1995-06-05",1100000,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA
"18","7669800085","LAWRIMORE PROJECT","LAWRIMORE PROJECT","831 AIRPORT WAY S","831   AIRPORT WAY S",8888,"8141","Commercial/Mixed-Use","Office Building","IDM 150/85-150","IDM","PRIVATE",0,1970,1000,1094800,NA,NA,NA,"good",0,0,0,0,0,"n/a",0,0,0,0,0,"no",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA
"19","8849050000","UWAJIMAYA VILLAGE","UWAJIMAYA VILLAGE","517 S WELLER ST","512  S WELLER ST",223150,"78637","Commercial/Mixed-Use","Condominium(Mixed Use)","IDM 75/85-150","IDM","PRIVATE",176,2000,29660300,10609700,"Market-based",1481,"Market Rate","good",0,0,0,0,0,"yes",0,0,0,0,0,"no",0,0,0,0,0,2,30000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,5.56,7.14,8.34,7.89,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,7.14,NA
"20","5247802600","DUPLEX","DUPLEX","612 7TH AVE S","612   7TH AVE S",3240,"2419","Multi-Family","Duplex","IDM 75/85-150","IDM","PRIVATE",2,1960,222000,127000,"Market-based",NA,NA,"good",0,0,0,0,0,"n/a",0,0,0,0,0,"no",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,"2003-04-26",393000,1,1,11.11,14.28,16.68,15.78,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,14.28,0,NA
"21","0086000000","ASIA CONDOMIMIUN","ASIA CONDOMIMIUN","668 S LANE ST","668  S LANE ST",55703,"14396","Commercial/Mixed-Use","Condominium(Mixed Use)","IDM 75/85-150","IDM","PRIVATE",75,2002,15132300,1939600,"Market-based",NA,NA,"good",0,0,0,0,0,"yes",0,0,0,0,0,"no",0,0,0,0,0,4,79513,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,0,NA
